yearsSchool wage
12 6.2704201181
6 4.303666724
14 11.452719255
14 1.2489072062
13 5.0726044074
12 7.0147871714
12 6.4306712396
12 6.7368936796
12 3.6746692798
10 0.4496065942
13 7.4832849318
9 3.2148526191
13 3.2920013231
12 5.0593272692
12 3.0622243998
9 3.0330603579
12 3.6428749569
12 3.4616449737
12 4.5933365997
13 6.8593826556
12 5.1924674605
13 9.0723661982
15 7.9617834395
9 2.4497795198
14 14.698677119
13 0.428711416
11 7.9617834395
13 7.3493385595
13 5.0551005965
13 5.1848808873
9 3.6316906917
12 4.9852787651
11 0.07655561
12 0.4747398821
13 7.0929028414
12 2.7322228697
12 4.0227958431
13 4.9358765258
10 3.6746692798
14 3.3093661681
12 5.3737099145
12 4.7574718275
10 2.6628038259
10 5.294280548
12 3.2663726931
10 4.8407643312
11 1.1857975335
12 4.1571268721
12 6.7368936796
11 2.8466711739
10 2.7560019598
12 3.9808917197
11 6.0306274563
12 5.3744943977
8 2.1435570799
9 4.5933365997
12 3.3684468398
12 5.7511753965
8 6.1480953201
12 2.7746776749
11 4.7651571708
11 2.4497795198
12 7.0122129375
12 8.1659317328
9 3.5433038299
12 2.370754374
11 7.7307026536
12 3.3684468398
12 6.1244487996
12 4.5933365997
9 3.7467216186
12 5.9713375796
11 1.887237556
11 1.8387490622
9 2.6028907398
10 3.0622243998
11 5.8021093891
11 7.3493385595
8 1.4812620353
9 4.8285041294
11 6.4994150526
11 3.6746692798
11 5.7291140094
10 6.8243858053
11 3.2459578638
11 4.7691215278
11 3.4634552551
9 5.5120039196
11 5.8903453313
10 3.256353145
10 3.8602586373
10 4.8459421872
12 8.0978823017
11 4.1030049627
10 3.3684468398
11 4.2871141597
12 5.2764481966
11 4.7770700637
9 4.8745612895
11 3.7359137678
10 5.8182263596
10 4.0194110759
11 5.6816482761
11 7.6555609995
11 7.3493385595
12 4.6834020232
7 5.790387956
9 2.0489723207
11 2.3221868365
11 9.9263793531
11 4.9761146497
10 3.7969757088
11 4.8144292014
11 2.2707006369
10 5.5732484076
10 7.3720217032
11 6.4729946663
9 1.5824662737
9 3.2449772388
5 0.6031654121
8 1.9798395764
10 7.3493385595
10 4.9628450106
10 3.2218890183
11 5.1075591876
10 4.6855553115
6 2.211606511
9 2.2747952684
11 2.6444832302
10 7.4138064416
10 7.2633813834
10 7.5886736516
10 7.4694770008
7 2.6589637293
9 5.7259401448
8 2.7560019598
9 4.3366309798
15 8.9825249061
15 7.7025625833
13 3.6396724295
12 2.6710499281
14 5.6140780663
12 5.1113311567
12 5.3973274524
12 2.365304364
15 7.0194928264
12 4.5267665041
13 9.624133828
12 7.0914670311
12 4.5495905369
13 5.5201698514
14 2.5225452482
15 10.557060914
15 7.6993070624
12 6.0268480219
16 5.0417626002
15 5.010365193
9 3.9808917197
12 3.7784734967
12 4.491262453
10 0.22966683
12 6.1703821656
13 12.248897599
12 3.9808917197
7 0.4447923709
13 4.4317494412
12 3.0622243998
12 2.5077992981
12 3.1070374398
13 6.6348195329
12 6.0251334137
12 5.6969622734
12 12.312036247
15 3.8901222017
12 2.7560019598
12 5.1751592357
10 2.7052941579
16 4.184513117
13 3.9352151157
12 4.382633086
13 10.899087528
12 7.3961922662
15 6.4306712396
10 14.091652105
15 6.8243858053
14 3.6053358971
12 5.6927971477
12 2.4115017148
11 5.3588926997
12 0.4258112592
12 3.0622243998
12 2.4566932908
12 6.7368936796
15 12.669745799
15 2.4126616483
12 2.5735057582
14 9.8344211296
14 0.6144141561
12 6.6160240102
14 15.127388535
12 9.3927030438
12 4.9608035277
12 4.8932855966
12 2.211606511
12 3.3684468398
12 5.5271885034
12 7.5456271436
12 5.1328713749
16 9.3668040465
16 5.9323092294
12 3.7945521073
13 3.8996490316
12 8.5742283195
13 6.2775600196
14 3.6746692798
12 1.1961364792
12 3.0622243998
14 5.7124903602
12 6.7924085572
13 3.116157902
12 7.5636942675
12 3.8496535312
12 5.3725249076
13 3.0547250747
13 9.5903300521
15 12.395985811
13 5.925048141
12 4.948500251
12 3.9196472317
13 3.0622243998
15 3.2685216225
12 11.15418936
12 2.9856687898
12 6.1030132288
12 4.1449631789
10 6.3694267516
13 2.9890654551
15 6.2729202857
16 5.3674944536
12 4.3711752217
12 4.4096031357
11 4.0693559802
11 3.9602653378
16 6.7368936796
14 0.9621490561
12 6.5327453862
14 5.5028172464
10 2.7513722469
8 2.8640234285
15 6.5550457686
15 4.7770700637
15 4.9631896766
15 6.1244487996
15 6.7082260469
15 6.0938265556
14 8.9171974522
15 5.2588758998
15 3.0219907946
10 3.821656051
10 5.5120039196
15 5.5120039196
12 3.1070374398
12 8.0830288726
9 21.231422505
14 5.8182263596
14 4.9307146543
15 4.4136348214
15 7.4173205482
12 3.6746692798
15 5.8182263596
12 3.2235513438
9 1.6211776234
12 1.0158575361
9 6.3796341663
12 3.5850431998
11 2.7560019598
14 0.7729886834
12 2.1373915274
11 3.5521803038
12 4.3051584629
10 3.574678279
16 10.128063739
15 4.444599986
12 4.7464478197
14 5.9158762399
14 5.3106215751
15 8.6984494628
15 15.311121999
12 2.8100412139
15 8.0223293212
15 7.8723251986
15 12.948834605
15 3.5276825086
14 7.1700863995
15 8.3598726115
15 7.111342906
15 11.18476047
15 8.5742283195
14 2.9973772949
14 9.3178656763
10 6.244536031
13 2.1231422505
14 2.3945213352
15 7.1432823382
15 5.9028226736
15 7.7361458521
13 3.651263743
12 2.6650321136
12 32.497400234
12 8.4211170995
13 6.0884226302
14 1.5596049832
12 6.0325820676
12 5.8794708476
16 8.7273395394
12 2.7560019598
14 11.777786153
12 7.6629607191
15 6.87701603
14 7.0431161195
12 5.854252529
12 0.91121985
12 1.6331863466
15 9.0165496216
12 2.7014275422
12 7.9268122092
12 5.8182263596
14 8.2719827943
9 6.7691276206
12 8.2935244161
9 7.2052338819
12 6.4245873501
12 7.2831283022
14 5.0685093514
12 8.3698117629
12 7.232505774
12 5.1753277034
12 4.1082473888
13 4.2871141597
14 8.7160576601
14 6.7368936796
12 4.1739362723
10 3.4450024498
13 9.1866731994
12 7.5191252589
12 3.0115492915
12 4.1449631789
13 16.003584803
8 3.0944583409
14 11.024007839
11 1.8115548213
14 7.6555609995
12 6.4306712396
12 4.0727584517
12 1.9035068453
12 6.0504053772
12 2.6265677326
12 3.7913254474
12 5.092407612
13 7.3065743285
15 4.4855117969
14 12.283894449
12 2.9856687898
14 15.311121999
12 1.2156505914
12 4.3967510941
13 3.5521803038
13 6.1863972472
12 2.562413061
10 2.5971548023
10 4.644373673
12 2.578715284
13 4.2062252133
11 4.5933365997
12 1.5923566879
12 2.7408197434
13 4.4402253797
12 1.6939964765
14 6.3694267516
12 1.9200974615
14 7.2624375968
12 3.6746692798
13 3.821656051
14 7.6555609995
14 9.6708573715
12 6.7209860203
14 7.1009595674
14 10.795638562
14 9.2741653251
12 4.0783344424
12 5.8182263596
14 7.1349828515
12 3.8996490316
14 8.8464260439
12 4.2871141597
14 20.99811017
14 6.6302906459
15 3.9808917197
12 2.6951029979
14 7.6555609995
12 6.8488459695
12 5.5732484076
12 0.6687062206
12 5.2531354652
14 8.0820520715
12 3.3458078267
12 10.148102603
12 7.3493385595
7 3.0622243998
12 2.9292202741
12 4.1588421783
12 7.1299553189
14 5.3895149437
12 1.0919017288
14 4.5933365997
12 5.0526702597
7 3.1450896164
9 4.6391494057
14 6.1244487996
13 30.862170858
14 9.1866731994
15 10.313190984
13 6.7368936796
13 7.6963906582
14 16.971826768
13 6.8243858053
12 4.5066698714
15 4.1878493932
12 3.1756401183
12 5.2057814797
12 2.1963540523
13 4.3823577084
14 4.5933365997
12 4.5933365997
10 6.4306712396
12 3.9156311997
9 3.0622243998
14 5.8362421582
10 7.3493385595
14 8.7579617834
14 10.795638562
10 5.790387956
8 2.3885350318
15 2.9125701065
14 7.1130654079
12 2.113079965
12 7.4751218601
13 1.1905470564
14 7.4126949264
14 2.5477707006
14 10.464058235
15 7.4309978769
12 3.3760212464
15 6.1244487996
9 3.2842356688
13 6.7368936796
12 4.7120759132
9 8.0748310745
10 4.3526834293
12 15.311121999
14 2.3246083035
14 7.1962273395
14 9.7378735914
14 3.1847133758
14 9.2758642013
14 6.1621542891
10 5.780867222
13 7.9617834395
11 4.6436086828
14 2.7639749645
9 2.8810907366
13 2.7173322319
10 1.8366282444
12 2.7560019598
12 4.5593459089
12 3.0350959689
12 3.9808917197
15 6.1244487996
14 12.861342479
12 7.8392944635
11 2.8034448731
14 13.998740113
14 2.9193205945
15 10.411562959
14 5.5290162774
13 4.4096031357
12 4.8995590397
15 5.6712395884
11 4.1340029397
14 7.2517192618
14 8.9570063694
14 11.636452719
13 3.2764540903
14 3.6307807216
11 2.9711611669
13 5.5640969324
15 6.1351746294
14 7.2517192618
15 14.649095565
14 10.311001022
14 5.5120039196
12 1.1362041425
12 5.4284887087
12 13.178124314
14 8.7894573389
12 6.0251334137
14 2.8847041447
14 4.9487291045
12 5.7263596276
15 4.8995590397
12 3.9808917197
14 7.8392944635
14 8.2796633725
12 6.4994150526
12 1.7249894352
13 4.8995590397
14 12.132241432
12 3.1222680155
9 5.397819281
13 8.5742283195
13 6.4306712396
13 7.0063694268
13 5.4346644638
13 8.9623180881
13 10.978937464
13 8.8192062714
13 3.2386915686
12 5.6051867939
13 7.1812164356
13 6.1556006246
12 6.7368936796
13 7.8739050351
12 5.5455208036
13 7.9617834395
12 2.3873413612
12 3.0622243998
13 1.0686957637
13 4.1521686777
12 4.0312827542
12 5.6533373535
12 16.472655392
10 1.5923566879
12 4.2819675641
13 9.4783136184
12 1.7402805332
13 3.3684468398
13 5.4268658422
13 5.2057814797
12 3.5336625529
13 9.1866731994
11 1.858782126
12 1.3054079864
11 3.8176374852
13 4.4096031357
11 0.2123142251
15 8.7119818791
12 4.0873326748
13 5.6600356205
12 8.5742283195
12 2.6580810648
12 2.441729861
12 7.2956581318
14 7.9617834395
12 1.5923566879
13 7.1962273395
12 5.1681752151
14 8.3151785269
12 3.0504291651
12 1.3965454899
12 2.8221056189
12 3.2587764776
12 5.5120039196
12 4.7426855931
12 5.790387956
14 9.8598726115
12 3.6746692798
12 2.8576690311
12 3.9439174932
12 2.148204638
10 3.9808917197
13 8.5742283195
13 5.8078903881
13 4.3240720404
13 6.7341956845
9 1.1927765452
12 4.1340029397
12 4.5933365997
10 12.17684526
13 7.4358013661
13 6.833101496
12 8.9171974522
12 8.2839365266
13 7.3519091571
12 0.6824385805
12 3.7031550881
12 5.8505117926
12 7.1513024906
13 7.1615858382
13 1.185377187
12 5.2406675804
13 3.7809382544
13 3.5265974017
13 7.6555609995
13 4.8085103235
13 5.3391207478
13 3.7436630703
12 4.4708476237
12 5.7222235377
12 1.7292561317
12 1.3339113616
12 3.3463256964
12 4.9806363752
13 5.6651151396
10 4.4096031357
12 0.6757069139
12 8.9303302909
12 3.1154804763
12 6.0868241995
12 3.0622243998
12 6.0387341663
14 6.5225379716
13 5.2057814797
12 2.3331233522
11 4.8211491416
12 6.6656791586
13 5.2789036865
13 5.639596603
12 6.8043109748
12 5.5120039196
13 7.9617834395
14 12.552361278
12 9.1101856388
11 4.5495905369
12 6.2953636498
12 6.175344496
13 6.1244487996
12 3.4996850283
12 3.3665046256
13 6.1223052425
13 5.2980985388
12 4.3126326964
13 5.0745432911
12 3.821656051
13 6.2775600196
12 8.7273395394
13 5.2608834526
13 10.942348522
13 5.5732484076
12 9.3302149682
12 7.9141080896
12 5.3895149437
12 2.9091131798
11 9.0133397428
12 4.9927016985
12 2.2456312265
12 3.3684468398
13 7.3493385595
12 4.0589484201
11 3.0293615038
12 2.4497795198
13 2.7186577598
12 0.6798238733
12 5.237084218
12 3.1790365249
13 4.8995590397
8 0.0979911808
12 2.564181462
13 11.373976342
13 5.7039642552
13 8.0098424945
9 0.9080649137
13 7.4063101763
13 2.8365868125
13 3.6676161717
12 2.9856687898
12 4.6545810877
12 2.7890079713
12 2.1021210401
12 4.0904575469
14 8.6481440808
11 3.0170968823
12 2.5477707006
9 1.1450654834
13 7.6555609995
11 7.0771408351
13 1.7498425142
12 5.5120039196
12 3.9808917197
12 4.0146689828
12 3.9705517413
12 3.5385704176
14 4.4626556858
13 6.1244487996
12 4.0882629884
12 1.707621113
13 6.7368936796
13 0.5941629432
12 1.4519969798
13 9.7991180794
13 5.6971616741
12 16.780989711
12 2.8626637086
14 5.790387956
13 7.5024497795
12 3.5498397501
13 2.4146942192
7 4.3551635908
11 1.995434446
12 1.1708505058
13 7.3493385595
11 4.2704850689
9 2.6539278132
12 3.3523298693
12 5.9713375796
13 4.8995590397
13 1.6379755552
13 5.9713375796
12 2.7522214359
12 12.786804018
12 3.3684468398
14 3.6746692798
12 2.6832904188
14 2.895193978
12 11.207202495
12 4.1040120822
14 2.7981630204
12 2.1638797429
12 3.0510340489
12 6.1712956798
12 9.6832501291
12 8.0492755652
11 4.7360245179
12 6.873482106
12 3.8277804998
12 10.294023033
12 13.087863188
12 3.4066626062
13 5.2768155349
12 4.5495905369
12 3.7031550881
12 3.5840825773
9 5.3524594551
12 4.5495905369
9 3.5385704176
12 6.0661207158
12 7.0640592439
12 2.9034423939
12 8.3343014593
12 1.9904458599
11 5.5120039196
11 3.5125515174
11 4.1646251837
12 5.0246057901
12 5.516059846
12 5.9713375796
12 7.0147871714
12 5.245410266
12 4.4402253797
7 3.0622243998
12 6.5664193315
12 7.3807459893
12 2.1755157785
12 4.8995590397
8 6.8111173948
12 3.9808917197
11 6.4306712396
11 3.3760212464
12 5.1110293691
12 2.9217553906
12 7.3493385595
12 10.100770035
12 6.5010264779
12 8.2680058795
12 2.7773663161
12 5.8087997887
12 4.5933365997
12 11.008885743
12 7.7285931295
12 1.9610304038
12 7.6644554272
12 4.2862898732
12 2.2480329712
12 6.1024447919
11 6.7368936796
11 2.9785089126
12 4.0621344079
12 5.5120039196
12 5.7096454945
13 6.4148653814
9 6.3900397832
12 10.411562959
10 3.7637521714
11 2.7613121755
11 5.0880036181
12 3.334778404
8 2.895193978
11 2.5186661144
12 4.069921247
11 3.8277804998
12 5.6491589815
12 5.8182263596
12 2.2966682999
10 3.9808917197
12 1.4928343949
12 2.5683172385
12 5.5953968535
12 10.615711253
12 8.2046853071
12 1.2248897599
12 11.005994755
12 6.6148150519
9 1.5976822955
12 7.1671631745
12 7.6555609995
12 4.1513954619
12 9.5983722576
12 6.4861779548
12 9.4222289225
12 8.0440521547
13 4.8995590397
12 4.8995590397
12 4.6584903103
12 3.5092098468
11 1.8423961678
12 3.0696032538
12 3.9347810048
12 3.0622243998
12 6.1244487996
12 4.8995590397
12 5.3588926997
12 6.250372046
12 3.9808917197
12 5.8644338378
11 4.6350288568
12 1.6193457843
12 5.1644000689
12 3.928280816
12 4.0867082732
11 6.244536031
11 4.5001384658
12 3.1743397166
12 3.7705169035
11 2.3302780799
12 7.9617834395
12 6.8488459695
12 5.1408830832
12 9.5678084251
11 5.8704394024
12 3.9196472317
12 7.6555609995
12 6.7368936796
9 4.2871141597
13 8.2104658176
11 2.6429156646
12 3.6746692798
12 0.6898296121
12 1.8219184072
12 6.6494015539
11 3.9808917197
12 2.5022747953
11 1.486839076
11 4.0969726104
11 7.2967179971
11 4.2111912407
13 8.3685898926
11 3.1563066162
12 4.7127232653
12 3.5262163064
12 4.7035766781
10 4.1704579921
12 4.838652919
11 2.4581835662
12 6.1244487996
12 8.8804507594
12 7.6555609995
11 5.2025656081
12 3.15466891
12 3.4198264438
12 4.8859415882
12 0.5197900048
12 4.2871141597
12 3.0622243998
13 4.693261817
12 10.924692453
11 4.6768518106
10 2.4497795198
12 2.2292993631
12 4.2099461049
12 5.1717567641
12 1.2208649305
12 2.9200810322
10 2.9098903941
12 1.5589506035
12 3.768891569
12 7.9617834395
11 0.8165931733
12 3.9502694757
10 2.1710424111
12 4.4585987261
10 3.5486806187
13 11.636452719
12 2.915582668
11 2.3885350318
11 4.8995590397
12 7.0431161195
12 4.3871051605
11 5.3078556263
12 5.8941695247
10 2.3306841224
12 1.0070239923
12 6.361474908
11 6.0537660911
10 3.4011502072
12 4.9761146497
12 2.8662420382
11 2.7811709275
11 2.7793862189
13 3.1483858468
10 3.6746692798
12 8.8804507594
12 4.8995590397
12 0.2813351039
12 7.5564133484
12 4.8995590397
12 2.2845863528
12 2.8266686767
13 6.0155697098
13 4.5083711435
12 9.4773409849
10 8.6365108496
12 3.6746692798
12 3.1222680155
11 9.2007477699
12 4.2441080354
12 2.5150747292
11 3.5923014217
12 4.7356332726
12 3.8770423705
11 6.0495647095
11 2.9239908577
11 10.393004024
11 8.5936710141
11 7.3175232411
10 7.1628053475
12 6.7691276206
10 6.2195911467
11 11.306674707
10 4.679354139
11 4.2874352919
11 3.1131118043
11 4.8107452807
11 6.6079579154
8 2.5830213449
11 12.095786379
8 1.4461679693
11 7.9617834395
11 5.5885595296
11 5.2182493248
10 3.2168821978
11 3.3291528099
11 3.0622243998
11 4.2747830548
11 4.7464478197
11 6.3422456986
10 1.835569669
11 5.5941504644
12 2.9200810322
11 7.0431161195
11 6.1244487996
11 0.6617586235
11 6.1244487996
11 6.4306712396
11 7.3493385595
11 8.1469411939
11 5.5363282791
11 1.9658158823
11 7.6052856735
11 5.8268054903
11 2.9488086813
11 3.1531815602
9 2.1435570799
12 10.770968456
11 3.1428092524
10 5.1297396657
11 5.4595086442
10 5.5120039196
10 8.3808246731
11 7.1147852012
11 10.105340519
11 10.565399825
11 7.0431161195
11 6.2988793034
11 6.3694267516
12 4.5495905369
11 6.1110612721
11 7.7205172747
10 1.65296542
11 3.7288588471
11 5.1242371292
10 1.5519415435
10 6.2278839349
10 3.6746692798
11 4.2788855337
11 5.7876041156
10 4.382633086
11 2.3530366343
11 3.3684468398
10 3.9808917197
11 5.3750436722
11 5.6869881711
11 5.9740830222
11 5.2057814797
10 3.3401218217
11 4.4585987261
10 2.8919077192
11 3.6746692798
11 4.4323330488
11 2.8999440912
11 3.8572003061
11 7.4189345686
11 6.7368936796
12 4.1159462046
11 8.3510261854
11 11.980795873
11 5.3282704557
12 3.1847133758
11 4.5495905369
11 9.9146737171
11 2.5660999863
11 10.781212319
11 6.3141776967
10 2.1435570799
11 9.1947105338
11 2.9010546946
11 1.9231360965
11 5.2057814797
11 0.551200392
11 5.397819281
11 10.734988907
11 5.6061305193
10 3.0622243998
12 6.4278618594
10 4.381355181
11 6.9874556125
10 5.178395733
11 4.0829658664
11 3.7467216186
11 7.2758801541
11 4.0420289181
11 5.2057814797
10 5.2057814797
11 8.2424531814
10 2.2747952684
11 3.81860117
12 5.5107716362
9 3.6059544142
11 4.6646780667
11 4.9914257717
11 3.0622243998
11 8.4076433121
10 8.8804507594
10 7.0431161195
10 4.1539739684
11 3.5240680798
11 5.3609062612
11 4.112255435
11 8.5805748985
10 7.4934432372
11 4.5127517471
11 3.4501061571
11 4.3883845729
11 2.4804017638
11 6.3030785563
11 3.8277804998
11 3.4616449737
10 3.954644082
11 8.5379396962
10 5.1205753251
10 2.1435570799
11 3.9479917882
11 3.0534164677
10 4.644373673
11 2.2579449331
11 9.45285949
10 6.6625802841
11 10.183676492
10 5.9195415907
11 2.1615701646
11 7.4371955398
11 6.1244487996
11 1.7975804567
11 2.8251489624
11 10.105340519
11 6.1244487996
11 6.9596009086
11 7.9950963409
11 6.8900048996
11 5.8107051067
11 7.1764129464
11 1.1921386968
11 3.8956738542
12 3.2899931568
11 3.8743471725
11 4.2685163571
11 6.1143123402
10 3.9844492637
11 8.7729840163
11 3.9472503813
10 3.6746692798
11 2.4497795198
11 3.3684468398
11 3.810768142
11 2.4497795198
11 4.3595187544
11 2.2427558984
10 4.5933365997
11 6.0966805179
11 1.8063296178
10 1.9301293187
11 4.2843677701
10 1.9904458599
10 0.2713280831
11 2.516896767
11 3.2250262033
10 7.5502924983
8 1.4764708912
10 2.6476239466
12 5.3109505859
12 3.0622243998
11 4.1340029397
11 6.4994150526
11 2.9430716994
11 2.4497795198
10 3.1890620968
11 4.5495905369
10 4.6768518106
11 4.3456127935
10 2.3161551824
10 3.0622243998
12 6.1244487996
11 4.3378615788
11 3.6053358971
10 5.7880389142
11 5.7105205359
12 2.7560019598
8 3.3602487587
11 7.279344859
11 4.8593242502
10 5.103707333
10 18.515775441
10 5.4712763351
9 5.6079290213
10 5.4507594317
10 6.7368936796
10 3.467443374
10 7.4718275355
10 4.4059192567
10 5.3588926997
10 1.7498425142
9 2.3109031298
10 10.84157745
9 2.7560019598
10 3.9808917197
10 3.4253853598
9 1.1942675159
10 3.9612989641
10 2.2442611037
9 5.9713375796
10 1.8439200687
10 4.1340029397
10 0.5186829602
10 5.6466549216
10 10.972970766
10 1.0191082803
9 3.7913254474
9 3.0622243998
10 7.0431161195
10 1.9833624226
9 3.1453959267
9 3.3523298693
11 0.5541041106
9 0.3249707526
10 4.491262453
9 0.5514655196
8 5.7124903602
9 2.4250048311
6 4.5173239373
9 4.6301517859
9 2.3272905439
8 2.1435570799
9 3.6746692798
8 1.4812620353
8 1.6761649346
12 11.45580351
14 2.9332886356
11 6.2191310837
12 6.915377616
11 4.9465625755
12 5.1345640883
12 3.0622243998
11 5.5872164488
